,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
107,CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,active,298.38599999999997,2.618100000000001,1.0,3.0,7.886056647693163
108,CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,active,298.38599999999997,2.618100000000001,1.0,3.0,7.154901959985743
109,CHEMBL27698,CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,258.32099999999997,1.6954,1.0,3.0,6.954677021213342
110,CHEMBL27767,Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1,inactive,202.21300000000002,0.18289999999999967,2.0,3.0,3.109578981199086
111,CHEMBL29482,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1,active,284.322,3.2641600000000013,0.0,4.0,8.455931955649724
112,CHEMBL311077,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,inactive,374.5210000000002,4.814200000000005,0.0,4.0,4.42021640338319
113,CHEMBL424162,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,368.5420000000002,4.744100000000005,0.0,3.0,6.0
114,CHEMBL349514,CCSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SCC,active,418.66800000000023,6.210000000000007,0.0,4.0,6.0
115,CHEMBL2112309,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O,inactive,310.42800000000005,4.945400000000006,1.0,1.0,4.585026652029182
116,CHEMBL349704,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,344.52000000000015,4.740700000000005,0.0,3.0,7.920818753952375
117,CHEMBL165279,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCS)C1CCC2=O,active,390.61400000000015,5.0407000000000055,1.0,4.0,6.0
118,CHEMBL443530,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,inactive,332.4840000000001,4.243400000000004,1.0,3.0,4.356547323513812
119,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,232.28299999999996,1.3532,2.0,3.0,5.721246399047171
120,CHEMBL352891,CSSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,376.58700000000016,5.388900000000006,0.0,4.0,6.0
121,CHEMBL81255,CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C,inactive,332.48400000000004,4.243400000000004,1.0,3.0,4.0
122,CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1,active,195.225,2.2737799999999995,0.0,3.0,9.154901959985743
123,CHEMBL309656,CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,intermediate,330.46800000000013,4.451600000000004,0.0,3.0,5.3979400086720375
124,CHEMBL83835,CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O,intermediate,308.4120000000001,5.153600000000004,0.0,1.0,5.920818753952375
125,CHEMBL349919,CC(=O)SCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,inactive,372.53000000000014,4.657400000000004,0.0,4.0,5.0
126,CHEMBL349963,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O,active,406.5910000000001,6.170000000000006,0.0,3.0,6.3979400086720375
127,CHEMBL353571,CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,390.6140000000002,5.431400000000005,0.0,4.0,6.2441251443275085
128,CHEMBL164746,CSCCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,inactive,358.5470000000002,5.130800000000005,0.0,3.0,5.0
129,CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.43100000000004,3.8808000000000025,1.0,2.0,6.568636235841013
130,CHEMBL166017,CN(C)CC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,inactive,341.4950000000001,3.939300000000003,0.0,3.0,5.0
131,CHEMBL164821,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CC[Se]c3ccccc3)C1CCC2=O,active,453.48400000000015,4.825700000000005,0.0,2.0,6.0
132,CHEMBL164993,CSC(=O)C[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,active,360.5190000000002,4.347200000000004,0.0,4.0,7.376750709602099
133,CHEMBL165925,COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,inactive,328.4520000000001,4.024100000000003,0.0,3.0,5.0
134,CHEMBL165218,CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,358.5470000000002,5.130800000000005,0.0,3.0,6.060480747381382
135,CHEMBL350713,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,354.5150000000002,4.701600000000004,0.0,3.0,6.481486060122113
136,CHEMBL81134,CC12CCC3C(CCC4=CCCCC43C)C1C[C@H](Br)C2=O,intermediate,351.32800000000003,5.281800000000005,0.0,1.0,5.229147988357856
137,CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,active,351.207,4.143880000000003,0.0,4.0,8.113509274827518
138,CHEMBL31215,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1,active,223.279,2.680480000000001,0.0,3.0,8.494850021680094
139,CHEMBL350074,CSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,active,346.5360000000001,4.820600000000004,0.0,3.0,7.657577319177793
140,CHEMBL166032,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC#N)C1CCC2=O,active,355.5030000000001,4.591980000000005,0.0,4.0,6.0
141,CHEMBL164543,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,356.5310000000002,5.254400000000005,0.0,3.0,7.301029995663981
142,CHEMBL82981,C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,inactive,312.4530000000001,3.8826000000000036,1.0,2.0,4.207608310501746
143,CHEMBL165552,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C1CCC2=O,active,528.6520000000003,6.634600000000006,0.0,8.0,6.0
144,CHEMBL1629804,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,272.43199999999996,4.908400000000004,0.0,1.0,6.275724130399211
145,CHEMBL285809,N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1,active,324.38699999999994,3.754660000000002,0.0,4.0,6.632644078973981
146,CHEMBL351850,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCCl)C1CCC2=O,active,392.99200000000013,5.349700000000006,0.0,3.0,6.0
147,CHEMBL166148,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC(F)F)C1CCC2=O,active,380.50000000000006,5.333500000000005,0.0,3.0,6.0
148,CHEMBL287677,N#Cc1ccc([C@H]2CCCc3cncn32)cc1,active,223.279,2.680480000000001,0.0,3.0,6.167491087293763
149,CHEMBL31224,N#Cc1ccc2c(c1)CCC=C2n1ccnc1,active,221.263,2.59018,0.0,3.0,8.537602002101044
150,CHEMBL351526,C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,370.55800000000016,5.296900000000005,0.0,3.0,6.568636235841013
151,CHEMBL351226,CSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SC,active,390.6140000000002,5.4298000000000055,0.0,4.0,6.0
152,CHEMBL349851,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccccc3)C1CCC2=O,active,438.65800000000013,6.818200000000006,0.0,4.0,6.0
153,CHEMBL440691,CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O,intermediate,290.447,3.6726000000000023,2.0,2.0,5.638272163982407
154,CHEMBL83422,CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O,intermediate,351.32800000000003,5.281800000000005,0.0,1.0,5.3872161432802645
155,CHEMBL132530,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,active,302.4140000000001,3.973100000000003,1.0,3.0,6.3872161432802645
156,CHEMBL166060,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCI)C1CCC2=O,inactive,424.32200000000006,4.812700000000004,0.0,2.0,5.0
157,CHEMBL439950,CC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,intermediate,274.44800000000004,4.700200000000005,1.0,1.0,5.136677139879544
158,CHEMBL165106,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCF)C1CCC2=O,active,362.5100000000001,5.037900000000005,0.0,3.0,7.301029995663981
159,CHEMBL423096,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCO)C1CCC2=O,active,374.54600000000016,4.103200000000004,1.0,4.0,6.0
