molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL91101,COc1cccc2c1CC/C(=C\c1ccncc1)C2=O,intermediate,6300.0
CHEMBL328217,COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O,intermediate,8900.0
CHEMBL93666,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,intermediate,7900.0
CHEMBL93828,O=C1c2cccc(O)c2CCC1Cc1ccncc1,active,200.0
CHEMBL92065,O=C1c2ccccc2CCC1Cc1ccncc1,intermediate,4300.0
CHEMBL93666,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,intermediate,8500.0
CHEMBL92488,O=C1/C(=C/c2ccncc2)CCc2c(O)cccc21,active,690.0
CHEMBL90427,COc1cccc2c1CCC(Cc1ccncc1)C2=O,intermediate,2200.0
CHEMBL1629804,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,0.06
CHEMBL307006,CCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,50.0
CHEMBL73367,C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,1.6
CHEMBL305630,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,9.0
CHEMBL70317,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.44
CHEMBL307690,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.32
CHEMBL73279,CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O,active,0.36
CHEMBL69891,CCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,14.0
CHEMBL72056,CCCCCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,50.0
CHEMBL307643,CC12CCC3C(C[C@H](O)C4=CCCCC43C)C1CCC2=O,active,0.19
